gene_id,flag_immuno_gene,flag_diabetes_gene,flag_pseudogene
ARPC2,1,0,0
ARPC3B,0,0,0
ARPC3andANAPC7,0,0,0
ARPC4andTTLL3,0,0,0
ARPC5,0,0,0
ARPC5L,0,0,0
ARPM1,0,0,0
ARPP19,0,0,0
ARPP21,0,0,0
ARR3,0,0,0
ARRB1,0,0,0
ARRB2,0,0,0
ARRDC1,0,0,0
ARRDC2,0,0,0
ARRDC3,0,0,0
ARRDC4,0,0,0
ARRDC5,0,0,0
ARSA,1,0,0
ARSB,0,0,0
ARSD,0,0,0
ARSDP1,0,0,0
ARSE,0,0,0
ARSEP1,0,0,0
ARSF,0,0,0
ARSGandPRKAR1A,0,0,0
ARSH,0,0,0
ARSI,0,0,0
ARSJ,0,0,0
ARSK,0,0,0
ART1,0,0,0
ART3,0,0,0
ART4,0,0,0
ART5,0,0,0
ARTN,0,0,0
ARV1,0,0,0
ARVCF,0,0,0
ARVP6125,0,0,0
ARX,0,0,0
ASAH1,0,0,0
ASAH2,0,0,0
ASAH2B,0,0,0
ASAM,0,0,0
ASAP1,0,0,0
ASAP1IT1,0,0,0
ASAP2,0,0,0
ASAP3,0,0,0
ASB1,0,0,0
ASB10,0,0,0
ASB11,0,0,0
ASB13,0,0,0
ASB14,0,0,0
ASB15,0,0,0
ASB16,0,0,0
ASB17,0,0,0
ASB18,0,0,0
ASB2,0,0,0
ASB4,0,0,0
ASB5,0,0,0
ASB6,0,0,0
ASB7,0,0,0
ASB8,0,0,0
ASB9,0,0,0
ASCC1,0,0,0
ASCC2,1,0,0
ASCC3,0,0,0
ASCL1,0,0,0
ASCL2,0,0,0
ASCL3,0,0,0
ASCL4,0,0,0
ASF1A,0,0,0
ASF1B,0,0,0
ASFMR1,0,0,0
ASGR1,0,0,0
ASGR2,0,0,0
ASH1L,1,0,0
ASH2L,0,0,0
ASH2LP1,0,0,0
ASIP,0,0,0
ASLL,0,0,0
ASLandCRCP,0,0,0
ASMTL,0,0,0
ASMTL.1,0,0,0
ASMTLAS,0,0,0
ASMTLAS.1,0,0,0
ASNA1,0,0,0
ASNSD1,0,0,0
ASNSP1,0,0,0
ASPA,0,0,0
