genesetid,dmel_num_geneID,dmel_num_analyzable,dmel_num_M,dmel_num_F,dmel_num_B,dmel_num_B_multi,dmel_num_unbiased,dsim_num_geneID,dsim_num_analyzable,dsim_num_M,dsim_num_F,dsim_num_B,dsim_num_B_multi,dsim_num_unbiased,dser_num_geneID,dser_num_analyzable,dser_num_M,dser_num_F,dser_num_B,dser_num_B_multi,dser_num_unbiased
253,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
254,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
255,7,6,0,2,0,0,4,4,4,1,0,0,0,3,4,4,0,0,0,0,4
256,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
257,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
258,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
259,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
260,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
261,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
262,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
263,2,2,0,0,0,0,2,2,2,1,0,0,0,1,2,2,1,0,0,0,1
264,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
265,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1
266,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
267,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
268,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
269,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
270,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
271,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
272,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
273,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
274,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
275,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0
