B52,B52_A B52_B
CG12065,CG12065
CG12070,CG12070
CG12071,CG12071
CG12072,CG12072
CG12073,CG12073
CG12076,CG12076
CG12079,CG12079
CG1208,CG1208
CG12081,CG12081
CG12082,CG12082
CG12085,CG12085
CG12086,CG12086
CG12090,CG12090
CG12091,CG12091
CG12096,CG12096
CG12099,CG12099
CG1210,CG1210
CG12101,CG12101
CG12106,CG12106
CG12107,CG12107
CG12108,CG12108
CG12110,CG12110
CG12114,CG12114
CG12116,CG12116
CG12117,CG12117
CG12118,CG12118
CG12119,CG12119
CG1212,CG1212
CG12120,CG12120
CG12121,CG12121
CG12123,CG12123
CG12124,CG12124
CG12125,CG12125
CG12127,CG12127
CG12128,CG12128
CG12129,CG12129
CG1213,CG1213
CG12130,CG12130_A CG12130_B
CG12131,CG12131
CG12132,CG12132
CG12140,CG12140
CG12141,CG12141
CG12142,CG12142
CG12143,CG12143
CG12149,CG12149
CG12151,CG12151
CG12153,CG12153
CG12154,CG12154
CG12155,CG12155
CG12157,CG12157
CG12158,CG12158
CG12159,CG12159
CG1216,CG1216
CG12162,CG12162_A CG12162_B
CG12163,CG12163_A CG12163_B CG12163_C
CG12170,CG12170
CG12171,CG12171
CG12173,CG12173
CG12175,CG12175
CG12176,CG12176
CG12177,CG12177
CG12178,CG12178
CG1218,CG1218
CG12184,CG12184
CG12189,CG12189
CG12190,CG12190
CG12191,CG12191
CG12194,CG12194
CG12196,CG12196
CG12199,CG12199
CG1220,CG1220
CG12201,CG12201
CG12202,CG12202
CG12204,CG12204
CG12207,CG12207
CG1221,CG1221
CG12210,CG12210
CG12212,CG12212
CG12213,CG12213_A CG12213_B
CG12214,CG12214
CG12218,CG12218
CG12219,CG12219
CG12223,CG12223
CG12225,CG12225
CG12229,CG12229
CG12230,CG12230
CG12232,CG12232
CG12233,CG12233
CG12234,CG12234
CG12235,CG12235
CG12236,CG12236
CG12237,CG12237
CG12238,CG12238
CG12241,CG12241
CG12244,CG12244
CG12250,CG12250
CG12251,CG12251
CG12252,CG12252
CG12253,CG12253
