Sample_id,basic_stats,base_qual,seq_qual,base_content,base_GC,seq_GC,base_N,seq_length,seq_dup,seq_overrep,kmer,percent_pass
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WG12_i5-509_i7-180_S468_L003_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WD03_i5-509_i7-135_S423_L003_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WE02_i5-509_i7-146_S434_L002_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_GW180409000_UFE_172202_P05_WE06_i5-509_i7-150_S438_L001_R2_001_fastqc,PASS,PASS,PASS,WARN,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WF08_i5-509_i7-164_S452_L002_R2_001_fastqc,PASS,WARN,WARN,FAIL,FAIL,WARN,PASS,PASS,FAIL,FAIL,FAIL,27.27
RAPiD-Genomics_GW180220900_UFE_172202_P05_WG11_i5-509_i7-179_S866_L005_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WD05_i5-509_i7-137_S425_L003_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WG07_i5-509_i7-175_S463_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WD12_i5-509_i7-144_S432_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WF07_i5-509_i7-163_S451_L002_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,WARN,FAIL,FAIL,54.54
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WE11_i5-509_i7-155_S443_L002_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
