comparison,FEATURE_ID,dm12279_01h_num_reps,dm12272_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,prior_dm12272_01h_g1,prior_dm12272_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_01h,FBgn0010415,3,3,242,252,178,457,473,295,0.7351190476190479,0.7351190476190479,0.7591836734693879,0.7591836734693879,0.8189,0.4899,0.48100000000000004,0.3682,0.5983,0.7378,0,0.4914,0.4979,0.3947,0.6025,0.9658,0,1.0468,1.0098,1
dm12279_High_vs_dm12272_High_01h,FBgn0264979,3,3,120,194,72,75,259,166,0.813471502590674,0.813471502590674,0.6679999999999999,0.6679999999999999,0.2093,0.3822,0.4006,0.2822,0.5395,0.1462,0,0.2246,0.2913,0.1936,0.4329,0.0093,1,1.2394,1.5895,1
dm12279_High_vs_dm12272_High_01h,FBgn0031995,3,3,58,17,24,122,5,31,0.7575757575757579,0.7575757575757579,0.80379746835443,0.80379746835443,0.0129,0.7733,0.7013,0.5698,0.8017,0.0102,1,0.9606,0.8737,0.7715,0.9287,0.0007,1,0.6542,0.3777,1
dm12279_High_vs_dm12272_High_01h,FBgn0033226,3,3,65,39,4,173,0,40,0.962962962962963,0.962962962962963,0.812206572769953,0.812206572769953,0.2209,0.625,0.5329999999999999,0.3319,0.7149,0.7156,0,1.0,0.7287,0.4553,0.9409,0.1009,0,0.9546,0.613,1
dm12279_High_vs_dm12272_High_01h,FBgn0034258,3,3,318,10,58,507,46,72,0.849740932642487,0.849740932642487,0.8848,0.8848,0.9876,0.9695,0.7049,0.4599,0.8997,0.094,0,0.9168,0.7081,0.48200000000000004,0.8807,0.0718,0,0.6524,0.6466,1
dm12279_High_vs_dm12272_High_01h,FBgn0039830,3,3,1367,1406,6725,2058,2252,10200,0.29195620130553807,0.29195620130553807,0.297036526533425,0.297036526533425,0.7671,0.493,0.4931,0.43200000000000005,0.5546,0.8153,0,0.4775,0.4808,0.4191,0.5425,0.5173,0,1.0159,1.0413,1
dm12279_High_vs_dm12272_High_01h,FBgn0026077,3,3,195,221,63,348,392,107,0.868475991649269,0.868475991649269,0.873671782762692,0.873671782762692,0.9189,0.4688,0.4848,0.4019,0.569,0.7140000000000001,0,0.4703,0.4783,0.4058,0.5534,0.5418,0,1.035,1.0476,1
dm12279_High_vs_dm12272_High_01h,FBgn0030928,3,3,60,108,7,164,254,12,0.96,0.96,0.972093023255814,0.972093023255814,0.7659999999999999,0.3571,0.3822,0.2963,0.4788,0.0204,1,0.3923,0.3981,0.3274,0.4759,0.0153,1,1.2804,1.2349,1
dm12279_High_vs_dm12272_High_01h,FBgn0000047,3,3,549,505,1259,606,669,1447,0.455685257241678,0.455685257241678,0.46840558412931704,0.46840558412931704,0.414,0.5209,0.5208,0.4416,0.5973,0.5753,0,0.4753,0.4788,0.4078,0.5551,0.544,0,0.9620000000000001,1.0464,1
dm12279_High_vs_dm12272_High_01h,FBgn0000044,3,3,1451,1373,1246,2796,2808,1689,0.693857493857494,0.693857493857494,0.76840806252571,0.76840806252571,0.9044,0.5138,0.5143,0.3359,0.6855,0.8731,0,0.4989,0.5004,0.3476,0.6525,0.9993,0,0.9875,1.0122,1
dm12279_High_vs_dm12272_High_01h,FBgn0010611,3,3,61,75,9,112,97,12,0.937931034482759,0.937931034482759,0.9457013574660631,0.9457013574660631,0.2769,0.4485,0.4609,0.3646,0.5614,0.4313,0,0.5359,0.5338,0.4483,0.617,0.4436,0,1.0881,0.9378,1
dm12279_High_vs_dm12272_High_01h,FBgn0050016,3,3,50,131,6,61,216,14,0.9679144385026741,0.9679144385026741,0.951890034364261,0.951890034364261,0.3716,0.2762,0.3166,0.2276,0.4272,0.0051,1,0.2202,0.2618,0.1891,0.3612,0.0002,1,1.4865,1.6993,1
dm12279_High_vs_dm12272_High_01h,FBgn0053281,3,3,249,233,39,181,230,42,0.925143953934741,0.925143953934741,0.9072847682119202,0.9072847682119202,0.2764,0.5166,0.5031,0.4185,0.5839,0.9244,0,0.4404,0.4434,0.3683,0.5224,0.1467,0,0.9975,1.1249,1
dm12279_High_vs_dm12272_High_01h,FBgn0039031,3,3,114,108,68,202,114,106,0.76551724137931,0.76551724137931,0.748815165876777,0.748815165876777,0.1191,0.5135,0.5149,0.4109,0.6182,0.7633,0,0.6392,0.6241,0.5273,0.7074,0.02,1,0.9758,0.7781,1
dm12279_High_vs_dm12272_High_01h,FBgn0016120,3,3,970,887,333,985,647,1938,0.8479452054794521,0.8479452054794521,0.4571428571428571,0.4571428571428571,0.4956,0.5223,0.5247,0.3991,0.6429,0.6782,0,0.6036,0.5803,0.4626,0.6867,0.1676,0,0.9587,0.8546,1
dm12279_High_vs_dm12272_High_01h,FBgn0261602,3,3,1581,2873,191,3503,4770,265,0.9588805166846072,0.9588805166846072,0.968962286249707,0.968962286249707,0.0669,0.355,0.3328,0.2684,0.4107,0.0011,1,0.4234,0.4308,0.3584,0.5113,0.0822,0,1.4236,1.1541,1
dm12279_High_vs_dm12272_High_01h,FBgn0033570,3,3,407,436,104,411,895,236,0.8901795142555441,0.8901795142555441,0.846952010376135,0.846952010376135,0.0264,0.4828,0.4754,0.3887,0.56,0.5553,0,0.3147,0.3359,0.2727,0.413,0.0009,1,1.0548,1.4134,1
dm12279_High_vs_dm12272_High_01h,FBgn0034275,3,3,68,143,34,99,147,17,0.861224489795918,0.861224489795918,0.9353612167300379,0.9353612167300379,0.2211,0.3223,0.3427,0.2637,0.4312,0.0029,1,0.4024,0.4156,0.3352,0.5002,0.0504,0,1.3953,1.192,1
dm12279_High_vs_dm12272_High_01h,FBgn0001092,3,3,904,1696,636,854,3126,847,0.8034610630407909,0.8034610630407909,0.8245286927698359,0.8245286927698359,0.1927,0.3477,0.3863,0.2669,0.5315,0.1091,0,0.2146,0.2748,0.1789,0.4163,0.006,1,1.2789,1.659,1
dm12279_High_vs_dm12272_High_01h,FBgn0038126,3,3,363,216,287,215,314,2799,0.668591224018476,0.668591224018476,0.15895432692307698,0.15895432692307698,0.0469,0.6269,0.5956,0.4813,0.695,0.0913,0,0.4064,0.433,0.3339,0.5404,0.2022,0,0.8275,1.1528,1
