comparison,FEATURE_ID,dm12279_38d_num_reps,dm12272_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_38d,FBgn0002789,3,3,4603,4606,2330,4825,6047,2074,0.798076089782477,0.798076089782477,0.839796076008033,0.839796076008033,0.3882,0.4998,0.4995,0.42100000000000004,0.5765,0.9884,0,0.4438,0.4531,0.3807,0.5301,0.2031,0,1.0041,1.1023,1
dm12279_High_vs_dm12272_High_38d,FBgn0002783,3,3,70,68,209,51,59,230,0.397694524495677,0.397694524495677,0.323529411764706,0.323529411764706,0.5753,0.5072,0.5092,0.4102,0.6084,0.856,0,0.4636,0.4697,0.3653,0.5744,0.5693,0,0.9867,1.0695,1
dm12279_High_vs_dm12272_High_38d,FBgn0002781,3,3,296,247,181,328,329,140,0.75,0.75,0.8243412797992471,0.8243412797992471,0.652,0.5451,0.5289,0.4399,0.6138,0.4884,0,0.4992,0.5026,0.4168,0.5895,0.9467,0,0.9472,0.9986,1
dm12279_High_vs_dm12272_High_38d,FBgn0002780,3,3,950,31,882,1453,65,806,0.526570048309179,0.526570048309179,0.6531841652323579,0.6531841652323579,0.9804,0.9684,0.6658,0.4357,0.8537,0.1607,0,0.9572,0.6682,0.4327,0.8551,0.1509,0,0.7172,0.7132,1
dm12279_High_vs_dm12272_High_38d,FBgn0030838,3,3,226,16,296,229,6,212,0.449814126394052,0.449814126394052,0.5257270693512299,0.5257270693512299,0.97,0.9339,0.6757,0.4464,0.8552,0.1227,0,0.9745,0.6713,0.4427,0.8534,0.1331,0,0.7003,0.7078,1
dm12279_High_vs_dm12272_High_38d,FBgn0261458,3,3,350,563,167,363,432,40,0.84537037037037,0.84537037037037,0.952095808383234,0.952095808383234,0.1173,0.3834,0.3867,0.3255,0.4549,0.0031,1,0.4566,0.4611,0.3936,0.53,0.2482,0,1.2639,1.0841,1
dm12279_High_vs_dm12272_High_38d,FBgn0027654,3,3,33,65,539,48,47,362,0.153846153846154,0.153846153846154,0.20787746170678303,0.20787746170678303,0.1664,0.3367,0.3711,0.2569,0.5061,0.0593,0,0.5053,0.4975,0.3682,0.6236,0.9753,0,1.3203,1.0137,1
dm12279_High_vs_dm12272_High_38d,FBgn0003435,3,3,161,135,221,135,130,117,0.5725338491295939,0.5725338491295939,0.6937172774869109,0.6937172774869109,0.5976,0.5439,0.5388,0.4587,0.6166,0.3331,0,0.5094,0.5095,0.4278,0.5894,0.8044,0,0.9278,0.9844,1
dm12279_High_vs_dm12272_High_38d,FBgn0036742,3,3,57,43,271,156,106,32,0.26954177897574105,0.26954177897574105,0.8911564625850341,0.8911564625850341,0.7671,0.57,0.5593,0.44799999999999995,0.6655,0.2831,0,0.5954,0.5812,0.49,0.6669,0.0771,0,0.8921,0.8514,1
dm12279_High_vs_dm12272_High_38d,FBgn0032178,3,3,55,91,3,69,97,14,0.9798657718120809,0.9798657718120809,0.922222222222222,0.922222222222222,0.6611,0.3767,0.3965,0.3034,0.4997,0.0496,1,0.4157,0.4265,0.33399999999999996,0.5253,0.1391,0,1.2435,1.1672,1
dm12279_High_vs_dm12272_High_38d,FBgn0035371,3,3,59,118,224,83,93,128,0.44139650872818,0.44139650872818,0.578947368421053,0.578947368421053,0.2187,0.3333,0.3743,0.2672,0.5023,0.0558,0,0.4716,0.4791,0.3577,0.6015,0.7191,0,1.3092,1.0516,1
