comparison,FEATURE_ID,dm12279_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,alpha1_postmean,flaganalyze
dm12279_01h,FBgn0027094,3,90,77,27,0.860824742268041,0.860824742268041,NA,0.5389,0.5421,0.4439,0.6392,0.3931,0,0.9229999999999999,1
dm12279_01h,FBgn0023174,3,362,196,113,0.831594634873323,0.831594634873323,NA,0.6487,0.6364,0.5535,0.7075,0.0049,1,0.7571,1
dm12279_01h,FBgn0023170,3,10111,170,377,0.964627509851754,0.964627509851754,NA,0.9835,0.6424,0.3956,0.8538,0.2542,0,0.7588,1
dm12279_01h,FBgn0023540,3,340,245,80,0.8796992481203009,0.8796992481203009,NA,0.5812,0.5804,0.5032,0.6525,0.0425,1,0.8521,1
dm12279_01h,FBgn0022702,3,46,41,12,0.878787878787879,0.878787878787879,NA,0.5287,0.5282,0.4146,0.6403,0.6238,0,0.9509,1
dm12279_01h,FBgn0022709,3,390,337,40,0.947848761408084,0.947848761408084,NA,0.5365,0.5466,0.4477,0.6403,0.29,0,0.9144,1
dm12279_01h,FBgn0034162,3,678,553,29,0.9769841269841271,0.9769841269841271,NA,0.5508,0.5565,0.4835,0.6289,0.1189,0,0.8947,1
dm12279_01h,FBgn0034295,3,835,983,281,0.8661267270128629,0.8661267270128629,NA,0.4593,0.4756,0.41200000000000003,0.5418,0.4361,0,1.0525,1
dm12279_01h,FBgn0031660,3,246,34,24,0.921052631578947,0.921052631578947,NA,0.8786,0.7603,0.5754,0.8626,0.0118,1,0.5621,1
dm12279_01h,FBgn0030136,3,5223,5541,383,0.9656409796357759,0.9656409796357759,NA,0.4852,0.4869,0.4198,0.5548,0.6656,0,1.0291,1
dm12279_01h,FBgn0038976,3,98,85,5,0.9734042553191491,0.9734042553191491,NA,0.5355,0.5182,0.4145,0.6154,0.7029,0,0.9691,1
dm12279_01h,FBgn0035402,3,58,47,6,0.9459459459459459,0.9459459459459459,NA,0.5524,0.5442,0.4315,0.6526,0.4256,0,0.9202,1
dm12279_01h,FBgn0051548,3,94,97,58,0.767068273092369,0.767068273092369,NA,0.4921,0.4952,0.40299999999999997,0.5885,0.9159999999999999,0,1.0143,1
dm12279_01h,FBgn0040064,3,188,290,41,0.9210019267822741,0.9210019267822741,NA,0.3933,0.4204,0.3415,0.5142,0.085,0,1.1802,1
dm12279_01h,FBgn0034331,3,4959,4823,1723,0.850239026510213,0.850239026510213,NA,0.507,0.5119,0.3367,0.6845,0.8936,0,0.9926,1
dm12279_01h,FBgn0010213,3,195,158,41,0.8959390862944159,0.8959390862944159,NA,0.5524,0.5472,0.4647,0.626,0.2439,0,0.9123,1
dm12279_01h,FBgn0000114,3,92,94,174,0.516666666666667,0.516666666666667,NA,0.4946,0.4847,0.3814,0.5849,0.7678,0,1.0373,1
dm12279_01h,FBgn0000455,3,119,79,5,0.9753694581280792,0.9753694581280792,NA,0.601,0.5964,0.4984,0.6874,0.0536,0,0.8252,1
dm12279_01h,FBgn0261534,3,286,457,23,0.9699738903394259,0.9699738903394259,NA,0.3849,0.3991,0.326,0.484,0.0264,1,1.2329999999999999,1
dm12279_01h,FBgn0000477,3,66,79,1,0.9931506849315072,0.9931506849315072,NA,0.4552,0.48200000000000004,0.3715,0.6015,0.7305,0,1.0443,1
dm12279_01h,FBgn0033821,3,346,57,4,0.99017199017199,0.99017199017199,NA,0.8586,0.8163,0.7097,0.8736,0.002,1,0.4737,1
dm12279_01h,FBgn0030158,3,737,635,628,0.6859999999999999,0.6859999999999999,NA,0.5372,0.5359,0.3901,0.6727,0.5906,0,0.9393,1
dm12279_01h,FBgn0263397,3,57,70,121,0.5120967741935479,0.5120967741935479,NA,0.4488,0.4554,0.3542,0.5599,0.3899,0,1.1009,1
dm12279_01h,FBgn0033357,3,636,674,69,0.949963741841914,0.949963741841914,NA,0.4855,0.4895,0.4233,0.5574,0.7404,0,1.0236,1
dm12279_01h,FBgn0033683,3,46,163,13,0.941441441441442,0.941441441441442,NA,0.2201,0.2587,0.1857,0.353,0.0003,1,1.7129,1
dm12279_01h,FBgn0033179,3,120,33,60,0.7183098591549301,0.7183098591549301,NA,0.7843,0.7340000000000001,0.6282,0.8140000000000001,0.002,1,0.6024,1
dm12279_01h,FBgn0032889,3,311,353,1419,0.31877100336053804,0.31877100336053804,NA,0.4684,0.4773,0.3202,0.6424,0.7709,0,1.0629,1
dm12279_01h,FBgn0032884,3,316,277,143,0.80570652173913,0.80570652173913,NA,0.5329,0.5245,0.44,0.6048,0.5279,0,0.9552,1
dm12279_01h,FBgn0032880,3,72,62,16,0.893333333333333,0.893333333333333,NA,0.5373,0.5171,0.40399999999999997,0.6239,0.7419,0,0.9723,1
dm12279_01h,FBgn0028583,3,104,98,23,0.8977777777777779,0.8977777777777779,NA,0.5149,0.5216,0.4277,0.6154,0.6478,0,0.9618,1
dm12279_01h,FBgn0039239,3,85,56,0,0.5,0.5,NA,0.6028,0.5197,0.3137,0.7187,0.8468,0,0.9831,1
dm12279_01h,FBgn0033320,3,128,203,8,0.9764011799410028,0.9764011799410028,NA,0.3867,0.3763,0.284,0.4834,0.03,1,1.2983,1
dm12279_01h,FBgn0004907,3,398,341,1676,0.306004140786749,0.306004140786749,NA,0.5386,0.5141,0.4262,0.5948,0.7057,0,0.9756,1
dm12279_01h,FBgn0033543,3,138,279,104,0.8003838771593091,0.8003838771593091,NA,0.3309,0.3957,0.2569,0.5698,0.2107,0,1.2607,1
dm12279_01h,FBgn0250815,3,129,184,266,0.540587219343696,0.540587219343696,NA,0.4121,0.4282,0.3213,0.5496,0.2049,0,1.1658,1
dm12279_01h,FBgn0002773,3,266,302,9755,0.05502276470018401,0.05502276470018401,NA,0.4683,0.4767,0.3961,0.5591,0.5533,0,1.0518,1
